               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.024856,            0.020327,           0.0011449,             0.86051,              0.7667,             0.82389,             0.59588,            0.031043,            0.015349,           0.0020301,            0.004159,            0.004159,            0.004159
                  61,            0.025068,             0.01983,           0.0011006,             0.85289,             0.79101,             0.84592,             0.61209,            0.029994,            0.015102,           0.0017387,             0.00406,             0.00406,             0.00406
                  62,            0.025393,            0.018478,           0.0011252,             0.84874,             0.79275,             0.86344,             0.61308,            0.029004,            0.014597,           0.0015823,            0.003961,            0.003961,            0.003961
                  63,            0.024808,            0.019408,           0.0012346,             0.85115,             0.78054,             0.85294,              0.6125,            0.029184,            0.014347,            0.001563,            0.003862,            0.003862,            0.003862
                  64,            0.023561,            0.019101,           0.0010068,             0.82825,             0.81064,             0.85141,             0.62409,            0.029407,            0.014774,           0.0015306,            0.003763,            0.003763,            0.003763
                  65,            0.023011,            0.018793,           0.0011709,             0.85224,             0.79905,              0.8579,             0.62461,            0.029189,             0.01472,            0.001648,            0.003664,            0.003664,            0.003664
                  66,            0.023517,            0.018284,           0.0011166,              0.8438,             0.81203,               0.859,             0.62111,            0.028883,            0.014651,           0.0016472,            0.003565,            0.003565,            0.003565
                  67,            0.022511,            0.017379,           0.0011341,             0.87807,             0.79424,             0.86255,             0.62484,            0.029462,            0.014045,           0.0015784,            0.003466,            0.003466,            0.003466
                  68,            0.022346,            0.018161,           0.0010708,             0.88014,             0.79797,             0.85255,             0.61006,            0.029949,            0.014284,           0.0013804,            0.003367,            0.003367,            0.003367
                  69,            0.023331,            0.019525,           0.0010676,             0.88361,             0.77515,             0.84015,             0.61311,            0.029669,            0.014883,           0.0014802,            0.003268,            0.003268,            0.003268
                  70,            0.022996,            0.017701,           0.0011439,             0.87965,             0.78829,             0.85239,             0.61091,            0.029852,            0.014572,           0.0014486,            0.003169,            0.003169,            0.003169
                  71,            0.022646,            0.018466,           0.0011051,             0.87904,              0.7771,             0.84464,             0.60986,            0.030477,            0.015311,           0.0015421,             0.00307,             0.00307,             0.00307
                  72,             0.02247,            0.018556,           0.0010934,             0.88206,             0.77337,             0.84162,             0.60682,            0.030433,            0.015269,           0.0015087,            0.002971,            0.002971,            0.002971
